,source,dataset,model,seed,n_rows,n_features,r2,fit_time_sec,predict_time_sec
75,openml,Aquatic Toxicity,rff,1,546,8,0.019367489395305082,0.14955129000009038,0.004257179999513028
76,openml,Aquatic Toxicity,rff,2,546,8,0.03892319614073436,0.09991061999971862,0.007362270000157878
77,openml,Aquatic Toxicity,rff,3,546,8,0.0617653022171637,0.11510218900002656,0.0030603760005760705
78,openml,Aquatic Toxicity,rff,4,546,8,0.27984760476961323,0.20668958200076304,0.00328595300015877
79,openml,Aquatic Toxicity,rff,5,546,8,0.20469689067441577,0.23021224199965218,0.0034249529999215156
80,openml,Izmir Weather,spectral_fast,1,1461,9,0.9920279464174554,0.13998191399969073,0.0006587509997189045
81,openml,Izmir Weather,spectral_fast,2,1461,9,0.9945899103515425,0.11537056399993162,0.0006092780004109954
82,openml,Izmir Weather,spectral_fast,3,1461,9,0.9925500240211187,0.09284744600063277,0.0005123310002090875
83,openml,Izmir Weather,spectral_fast,4,1461,9,0.9932744265455072,0.08156600300026184,0.0005058599999756552
84,openml,Izmir Weather,spectral_fast,5,1461,9,0.9924659783521357,0.07687463799993566,0.0007498009999835631
85,openml,Izmir Weather,spectral_slow,1,1461,9,0.9917730781906616,0.7556425259999742,0.0013943760004622163
86,openml,Izmir Weather,spectral_slow,2,1461,9,0.9943093967087743,0.27330382099989947,0.0009223839997503092
87,openml,Izmir Weather,spectral_slow,3,1461,9,0.992141360435195,0.36355308200018044,0.0011341669996909332
88,openml,Izmir Weather,spectral_slow,4,1461,9,0.9942733195676283,0.3138199539998823,0.0011070519994973438
89,openml,Izmir Weather,spectral_slow,5,1461,9,0.9927414753085586,0.7587080390003393,0.001442039999346889
90,openml,Izmir Weather,xgboost,1,1461,9,0.9894714284798148,0.09068081800069194,0.0012249310002516722
91,openml,Izmir Weather,xgboost,2,1461,9,0.9925547913207557,0.21036513399940304,0.0013999889997649007
92,openml,Izmir Weather,xgboost,3,1461,9,0.9913355172442184,0.1803107159994397,0.0014655400000265217
93,openml,Izmir Weather,xgboost,4,1461,9,0.9919176503318221,0.14482093599963264,0.0014945579996492597
94,openml,Izmir Weather,xgboost,5,1461,9,0.991957722651754,0.15575549799996224,0.0014299580006991164
95,openml,Izmir Weather,rff,1,1461,9,-0.18734424252598703,0.22851132599953417,0.0584975410001789
96,openml,Izmir Weather,rff,2,1461,9,-0.24226512675053247,0.2680131679999249,0.009896772000502096
97,openml,Izmir Weather,rff,3,1461,9,-0.22331160483577261,0.27276390099996206,0.011827262999759114
98,openml,Izmir Weather,rff,4,1461,9,-0.25134307373999043,0.24930212999970536,0.019024526000066544
99,openml,Izmir Weather,rff,5,1461,9,-0.18426457662165796,0.26862929700018867,0.03071050499966077
100,openml,Ankara Weather,spectral_fast,1,321,9,0.9848559249740566,0.1652606730003754,0.000285135000012815
101,openml,Ankara Weather,spectral_fast,2,321,9,0.9860611748763722,0.08724606499981746,0.00019066100048803492
102,openml,Ankara Weather,spectral_fast,3,321,9,0.9899240418986202,0.08836006100045779,0.0002520260004530428
103,openml,Ankara Weather,spectral_fast,4,321,9,0.9941469694313784,0.08619933200043306,0.0002594480001789634
104,openml,Ankara Weather,spectral_fast,5,321,9,0.9923922105662639,0.08007106500008376,0.00026192099994659657
105,openml,Ankara Weather,spectral_slow,1,321,9,0.9888655473820509,0.29370045899941033,0.0002985499995702412
106,openml,Ankara Weather,spectral_slow,2,321,9,0.9774905147230379,0.21972246099994663,0.0002797130000544712
107,openml,Ankara Weather,spectral_slow,3,321,9,0.9906299664768217,0.3379699699999037,0.0004231829998389003
108,openml,Ankara Weather,spectral_slow,4,321,9,0.9892023288310989,0.39845289799995953,0.000408818000323663
109,openml,Ankara Weather,spectral_slow,5,321,9,0.9905746244158155,0.4012547780002933,0.0018637969997143955
110,openml,Ankara Weather,xgboost,1,321,9,0.978613535243387,0.3058781640002053,0.001531289000013203
111,openml,Ankara Weather,xgboost,2,321,9,0.9870834453789809,0.13356256000042777,0.0015932129999782774
112,openml,Ankara Weather,xgboost,3,321,9,0.9869519876176183,0.14875294200010103,0.0017866070002128254
113,openml,Ankara Weather,xgboost,4,321,9,0.9887938054641449,0.14326216599965846,0.003997507000349287
114,openml,Ankara Weather,xgboost,5,321,9,0.9887948110005076,0.18314048600041133,0.006515448000754986
115,openml,Ankara Weather,rff,1,321,9,-0.24330032285410974,0.08754434999991645,0.002249641000162228
116,openml,Ankara Weather,rff,2,321,9,-0.04767710303605588,0.051927199999227014,0.0021340370003599674
117,openml,Ankara Weather,rff,3,321,9,-0.24670095596000863,0.05495876499935548,0.008465053999316297
118,openml,Ankara Weather,rff,4,321,9,-0.04187959588337242,0.09481194500040147,0.002164638000067498
119,openml,Ankara Weather,rff,5,321,9,-0.061560481840786,0.040290557999469456,0.0061765689997628215
120,pmlb,Echo Cardiogram,spectral_fast,1,17496,9,0.42791066652820564,0.3369041690002632,0.006607973000427592
121,pmlb,Echo Cardiogram,spectral_fast,2,17496,9,0.44750590311550253,0.35144677700009197,0.006497313999716425
122,pmlb,Echo Cardiogram,spectral_fast,3,17496,9,0.4452534114455332,0.35024790599982225,0.00638033099949098
123,pmlb,Echo Cardiogram,spectral_fast,4,17496,9,0.45643856969160734,0.34861315700072737,0.00530132899984892
124,pmlb,Echo Cardiogram,spectral_fast,5,17496,9,0.4375839915596551,0.40613656799996534,0.006817542999669968
125,pmlb,Echo Cardiogram,spectral_slow,1,17496,9,0.4345973787290094,19.378792014999817,0.15477344400005677
126,pmlb,Echo Cardiogram,spectral_slow,2,17496,9,0.45228220929506846,2.367170530000294,0.019458145000498916
127,pmlb,Echo Cardiogram,spectral_slow,3,17496,9,0.45164793707011197,4.471497374000137,0.04703948099995614
128,pmlb,Echo Cardiogram,spectral_slow,4,17496,9,0.46182721304358854,4.472376259000157,0.03396695900028135
129,pmlb,Echo Cardiogram,spectral_slow,5,17496,9,0.44244142910477624,3.241367853999691,0.020110319999730564
130,pmlb,Echo Cardiogram,xgboost,1,17496,9,0.4147241559720978,0.3563532899997881,0.0028284300005907426
131,pmlb,Echo Cardiogram,xgboost,2,17496,9,0.441821381675895,0.2085426900002858,0.003275910000411386
132,pmlb,Echo Cardiogram,xgboost,3,17496,9,0.4222255014351939,1.8656232299999829,0.02066588999969099
133,pmlb,Echo Cardiogram,xgboost,4,17496,9,0.43527504602790423,1.9116100800001732,0.013848390000021027
134,pmlb,Echo Cardiogram,xgboost,5,17496,9,0.42990894089945253,1.6312886100004107,0.006444540000302368
135,pmlb,Echo Cardiogram,rff,1,17496,9,-0.024858461740782767,0.603316800000357,0.15606369000033737
136,pmlb,Echo Cardiogram,rff,2,17496,9,-0.036168437931162645,0.5108763600001112,0.16090919999987818
137,pmlb,Echo Cardiogram,rff,3,17496,9,-0.02448958132053569,0.5271623099997669,0.15255476999936946
138,pmlb,Echo Cardiogram,rff,4,17496,9,-0.03557714582835092,0.5425693199995294,0.1522207799998796
139,pmlb,Echo Cardiogram,rff,5,17496,9,-0.02138604102747066,0.5548546800000622,0.1481354099996679
140,pmlb,Wind Speed,spectral_fast,1,6574,14,0.7798426903565099,1.0823035499997786,0.007177590000537748
141,pmlb,Wind Speed,spectral_fast,2,6574,14,0.787213874690656,1.308582810000189,0.02804625000044325
142,pmlb,Wind Speed,spectral_fast,3,6574,14,0.7840903485960571,1.5834332699996594,0.023758559999805584
143,pmlb,Wind Speed,spectral_fast,4,6574,14,0.7791713275818108,1.2484601719997954,0.015539992999947572
144,pmlb,Wind Speed,spectral_fast,5,6574,14,0.7902895120092832,1.3173083480005516,0.024190480000470416
145,pmlb,Wind Speed,spectral_slow,1,6574,14,0.7842581246682613,2.7425406250004016,0.016958396000518405
146,pmlb,Wind Speed,spectral_slow,2,6574,14,0.7865591212289176,47.04147789900071,0.06852797999999893
147,pmlb,Wind Speed,spectral_slow,3,6574,14,0.7860252899684409,3.7051785000003292,0.027955890000157524
148,pmlb,Wind Speed,spectral_slow,4,6574,14,0.7790376741894844,11.118998011999793,0.03629202199954307
149,pmlb,Wind Speed,spectral_slow,5,6574,14,0.7932809033168555,37.96766155000023,0.051952922999589646
150,pmlb,Wind Speed,xgboost,1,6574,14,0.7761578885561469,0.4486729749996812,0.0024573079999754555
151,pmlb,Wind Speed,xgboost,2,6574,14,0.7793811906525097,0.28468286899988016,0.011798771000030683
152,pmlb,Wind Speed,xgboost,3,6574,14,0.7798052935660198,0.277765566999733,0.0050372940004308475
153,pmlb,Wind Speed,xgboost,4,6574,14,0.763792368439363,0.3848001239994119,0.0020830779994867044
154,pmlb,Wind Speed,xgboost,5,6574,14,0.7701759302796215,0.3093979590003073,0.012542279000626877
155,pmlb,Wind Speed,rff,1,6574,14,-0.09266720855501864,0.34816101099931984,0.10294212600001629
156,pmlb,Wind Speed,rff,2,6574,14,-0.09533576928586918,0.3831278520001433,0.11293289600052958
157,pmlb,Wind Speed,rff,3,6574,14,-0.09751684882750422,0.3492138849996991,0.05331925799964665
158,pmlb,Wind Speed,rff,4,6574,14,-0.11186698310766308,0.35151755700007925,0.14339487999950506
159,pmlb,Wind Speed,rff,5,6574,14,-0.0824431821766205,0.33469615900048666,0.11312901200017222
160,pmlb,CPU Utilisation,spectral_fast,1,8192,21,0.9803443005154119,0.7212739950000469,0.015797098999428272
161,pmlb,CPU Utilisation,spectral_fast,2,8192,21,0.9779135600946733,0.9200620660003551,0.012663339000027918
162,pmlb,CPU Utilisation,spectral_fast,3,8192,21,0.9770063889866356,0.6449379220002811,0.009352036999189295
163,pmlb,CPU Utilisation,spectral_fast,4,8192,21,0.9771865639801739,0.8877274979995491,0.013059900000371272
164,pmlb,CPU Utilisation,spectral_fast,5,8192,21,0.9748131065771825,0.7946144100005768,0.011166839999532385
165,pmlb,CPU Utilisation,spectral_slow,1,8192,21,0.9851208057563581,18.54255166600069,0.05535851700005878
166,pmlb,CPU Utilisation,spectral_slow,2,8192,21,0.9809445236881954,8.052387419000297,0.04085791400029848
167,pmlb,CPU Utilisation,spectral_slow,3,8192,21,0.9832315903996461,37.89924399500069,0.06730122400040273
168,pmlb,CPU Utilisation,spectral_slow,4,8192,21,0.9827092311907142,24.822374488000605,0.04883502499978931
169,pmlb,CPU Utilisation,spectral_slow,5,8192,21,0.9802396938916149,16.90066929799923,0.0573403309990681
170,pmlb,CPU Utilisation,xgboost,1,8192,21,0.97842661720954,0.4991344259997277,0.004744323001432349
171,pmlb,CPU Utilisation,xgboost,2,8192,21,0.9849967324690599,0.3761273220006842,0.0024748079995333683
172,pmlb,CPU Utilisation,xgboost,3,8192,21,0.985665973408993,0.459192203999919,0.007649184999536374
173,pmlb,CPU Utilisation,xgboost,4,8192,21,0.9844064193948001,0.6203697580003791,0.00233358799960115
174,pmlb,CPU Utilisation,xgboost,5,8192,21,0.9825724387598742,0.5323440419997496,0.0022722049998264993
175,pmlb,CPU Utilisation,rff,1,8192,21,-0.05280139424628394,0.42273075400044036,0.11920736200045212
176,pmlb,CPU Utilisation,rff,2,8192,21,-0.0823943708682866,0.2323400870009209,0.09455201300079352
177,pmlb,CPU Utilisation,rff,3,8192,21,-0.05332253647058649,0.38580011900012323,0.1257858609988034
178,pmlb,CPU Utilisation,rff,4,8192,21,-0.12403984398199208,0.44418831399889314,0.06811517200003436
179,pmlb,CPU Utilisation,rff,5,8192,21,-0.07671823895866114,0.3510469530010596,0.09321700100008457
